booking_id,customer_id,source,status,checkin,checkout,oyo_rooms,hotel_id,amount,discount,date
2319,124286,0,3,3/4/2017,3/5/2017,1,301,3184,701,3/4/2017
2320,12354,4,2,3/3/2017,3/4/2017,1,301,3184,673,3/3/2017
2321,95107,4,3,3/5/2017,3/6/2017,1,301,2664,677,3/5/2017
2322,145095,3,4,3/15/2017,3/17/2017,1,314,3812,,3/15/2017
2323,134416,1,2,3/10/2017,3/11/2017,1,314,1964,416,3/9/2017
2324,134416,1,2,3/9/2017,3/10/2017,1,314,1906,404,3/7/2017
2325,73065,2,2,3/2/2017,3/3/2017,1,314,2209,468,3/1/2017
2326,92056,0,4,3/15/2017,3/16/2017,1,314,1906,419,3/15/2017
2327,28245,0,3,5/23/2017,5/25/2017,2,296,14555,3202,3/25/2017
2328,139495,0,2,4/16/2017,4/18/2017,1,421,5598,1232,3/30/2017
2329,139495,4,3,4/16/2017,4/18/2017,1,421,5598,1185,3/31/2017
2330,23899,4,2,3/20/2017,3/21/2017,1,331,2274,481,3/20/2017
2331,63032,0,2,3/12/2017,3/13/2017,2,331,5067,1114,3/12/2017
2332,96030,3,3,3/23/2017,3/24/2017,1,308,2599,550,3/13/2017
2333,189468,1,2,3/27/2017,3/29/2017,1,93,4742,1003,3/21/2017
2334,62582,0,3,3/10/2017,3/12/2017,1,93,4937,1253,3/3/2017
2335,35093,0,3,3/9/2017,3/12/2017,1,93,7344,1616,3/7/2017
2336,2827,4,2,3/26/2017,3/28/2017,1,286,5197,1100,3/7/2017
2337,91545,4,3,3/21/2017,3/24/2017,1,286,7796,1649,3/1/2017
2338,168493,3,3,3/9/2017,3/10/2017,1,683,5199,1100,3/9/2017
2339,92416,4,2,3/4/2017,3/5/2017,1,683,4224,893,3/4/2017
2340,136094,0,3,3/27/2017,3/28/2017,1,716,3509,772,3/26/2017
2341,182418,4,3,3/22/2017,3/23/2017,1,135,2274,481,3/19/2017
2342,67743,4,3,3/4/2017,3/5/2017,1,135,2729,578,3/3/2017
